[24.4.2020 14:21:49]  CreateObject(19129, -239.27, -911.51, 44.35, 0.00, 0.00, 282.84);
[24.4.2020 14:21:50]  CreateObject(19129, -240.15, -911.53, 43.93, 0.00, 0.00, 282.84);
[24.4.2020 14:21:50]  CreateObject(19129, -239.91, -911.85, 43.68, 0.00, 0.00, 282.84);
[24.4.2020 14:21:50]  CreateObject(19129, -242.64, -911.81, 47.93, 0.00, 0.00, 282.84);
[24.4.2020 14:21:50]  CreateObject(19129, -242.76, -912.27, 47.36, 0.00, 0.00, 282.84);
[24.4.2020 14:24:0]  CreateObject(19129, -380.89, -836.62, 48.33, 0.00, 0.00, 282.84);
[24.4.2020 14:24:3]  CreateObject(19129, -473.02, -853.67, 52.19, 0.00, 0.00, 282.84);
[24.4.2020 14:24:3]  CreateObject(19129, -477.04, -858.70, 52.52, 0.00, 0.00, 282.84);
[24.4.2020 14:24:3]  CreateObject(19129, -479.22, -861.19, 52.48, 0.00, 0.00, 282.84);
[24.4.2020 14:24:4]  CreateObject(19129, -480.15, -862.10, 52.37, 0.00, 0.00, 282.84);
[24.4.2020 14:24:4]  CreateObject(19129, -480.41, -862.36, 52.32, 0.00, 0.00, 282.84);
[24.4.2020 14:24:4]  CreateObject(19129, -480.45, -862.41, 52.36, 0.00, 0.00, 282.84);
[24.4.2020 14:24:4]  CreateObject(19129, -480.52, -862.48, 52.35, 0.00, 0.00, 282.84);
[24.4.2020 14:24:4]  CreateObject(19129, -480.61, -862.57, 52.33, 0.00, 0.00, 282.84);
[24.4.2020 14:24:5]  CreateObject(19129, -480.62, -862.58, 52.33, 0.00, 0.00, 282.84);
[24.4.2020 14:24:5]  CreateObject(19129, -480.65, -862.61, 52.32, 0.00, 0.00, 282.84);
[24.4.2020 14:24:5]  CreateObject(19129, -480.69, -862.65, 52.33, 0.00, 0.00, 282.84);
